Date,Open,High,Low,Close,Volume,등락률,Adj Close
2023-08-08,517000,535000,517000,525000,328379,2.140077821011673,525000
2023-08-09,530000,553000,528000,553000,485515,5.333333333333334,553000
2023-08-10,549000,560000,543000,556000,344272,0.5424954792043399,556000
2023-08-11,559000,559000,543000,547000,228274,-1.618705035971223,547000
2023-08-14,545000,551000,536000,542000,238615,-0.9140767824497258,542000
2023-08-16,533000,540000,524000,526000,289809,-2.952029520295203,526000
2023-08-17,522000,543000,522000,540000,306424,2.6615969581749046,540000
2023-08-18,534000,538000,525000,529000,205838,-2.037037037037037,529000
2023-08-21,530000,534000,522000,526000,251626,-0.5671077504725899,526000
2023-08-22,531000,542000,531000,539000,195045,2.4714828897338403,539000
2023-08-23,535000,538000,525000,525000,191350,-2.5974025974025974,525000
2023-08-24,532000,537000,523000,535000,191114,1.9047619047619049,535000
2023-08-25,527000,549000,525000,546000,249493,2.0560747663551404,546000
2023-08-28,550000,553000,542000,553000,246291,1.282051282051282,553000
2023-08-29,554000,555000,546000,552000,225090,-0.18083182640144665,552000
2023-08-30,557000,558000,550000,553000,224096,0.18115942028985507,553000
2023-08-31,554000,554000,543000,544000,1211809,-1.62748643761302,544000
2023-09-01,544000,544000,520000,522000,496771,-4.044117647058823,522000
2023-09-04,522000,531000,520000,530000,218035,1.532567049808429,530000
2023-09-05,528000,537000,528000,536000,156600,1.1320754716981132,536000
2023-09-06,537000,540000,526000,527000,189937,-1.6791044776119404,527000
2023-09-07,523000,529000,514000,517000,308430,-1.8975332068311195,517000
2023-09-08,520000,521000,505000,509000,287513,-1.5473887814313347,509000
2023-09-11,512000,512000,505000,508000,159612,-0.19646365422396855,508000
2023-09-12,513000,516000,499500,499500,300881,-1.673228346456693,499500
2023-09-13,491000,502000,490000,494500,271068,-1.001001001001001,494500
2023-09-14,496500,511000,495000,508000,294550,2.730030333670374,508000
2023-09-15,506000,521000,504000,514000,515495,1.1811023622047243,514000
2023-09-18,513000,514000,505000,507000,164941,-1.3618677042801557,507000
2023-09-19,508000,511000,496000,496500,209840,-2.0710059171597637,496500
